№,Кадастровый номер,Наименование объекта,Район города,Адрес,Правоустанавливающий документ,Дата начала,Дата окончания,Наименование генерального подрядчика,Общая площадь,Дата предоставления отчета инвестором,Состояние дел на объекте,Тип строительства
39,78:42:0016268:28,"СТРОИТЕЛЬСТВО СТАЦИОНАРНОГО УЧРЕЖДЕНИЯ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""  ПУШКИНСКИЙ РАЙОН, Г. ПАВЛОВСК, КОЛХОЗНАЯ УЛ., УЧАСТОК 1 (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ С САДОВОЙ УЛ.)",Пушкинский,"Санкт-Петербург, г. Павловск, Колхозная ул., участок 1 (юго-западнее пересечения с Садовой ул.)",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022г.)",20164.9,-,Работы не ведутся,СМР
40,78:32:0001079:8,"РЕКОНСТРУКЦИЯ ДЛЯ РАЗМЕЩЕНИЯ СПБ ГУ ""ЦЕНТР СОЦИАЛЬНОЙ РЕАБИЛИТАЦИИ ИНВАЛИДОВ И ДЕТЕЙ-ИНВАЛИДОВ АДМИРАЛТЕЙСКОГО РАЙОНА"" 
УЛ. МЯСНАЯ, Д. 3, ЛИТЕРЫ А, В, М",Адмиралтейский,"Санкт-Петербург, ул. Мясная, д. 3, литеры А, В, М",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022г.)",7224.65,-,Работы не ведутся,СМР
41,78:38:0022102:3925,"СТРОИТЕЛЬСТВО ОБЩЕЖИТИЯ ДЛЯ СОТРУДНИКОВ СПБ ГБУЗ ""ГОРОДСКАЯ БОЛЬНИЦА №40 КУРОРТ. Р-НА"": РЕПИНО, ПРИМОРСК. Ш., ЗАПАДНЕЕ Д. 423, К. 2",Курортный,"Санкт-Петербург, посёлок Репино, Приморское шоссе, участок 108, (северо-западнее дома 423, литера О по Приморскому шоссе)",Договор безвозмездного пользования №22/ЗБ-04743 от 10.02.2020 (ФКСР),02.07.2020,15.12.2021,"№ 36/ЭА-20 от 02.07.2020 ООО ""СОТЭКС""",11385.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 31.08.2021 № 78-10-19-2021",СМР
42,78:32:0001090:3,"ПРИСПОСОБЛЕНИЕ ДЛЯ СОВРЕМЕННОГО ИСПОЛЬЗОВАНИЯ ЗДАНИЯ ОБЪЕКТА КУЛЬТУРНОГО НАСЛЕДИЯ ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ «ДОМ КОЧУБЕЯ М.В.»  КОННОГВАРДЕЙСКИЙ БУЛЬВАР, Д. 7, ЛИТ. А",Адмиралтейский,"Санкт-Петербург, Конногвардейский бульвар, д.7, лит. А",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022г.)",3977.8,-,Работы не ведутся,СМР
43,78:38:0021380:2492,"СТРОИТЕЛЬСТВО ОБЩЕЖИТИЯ ДЛЯ СОТРУДНИКОВ ОНКОЛОГИЧЕСКОЙ БОЛЬНИЦЫ ПОС. ПЕСОЧНЫЙ, ЛЕНИНГРАДСКАЯ УЛ., УЧАСТОК 1 (ЮГО-ВОСТОЧНЕЕ ДОМА 68, ЛИТЕРА Щ ПО ЛЕНИНГРАДСКОЙ УЛИЦЕ)",Курортный,"Санкт-Петербург, пос. Песочный, Ленинградская ул., участок 1 (юго-восточнее дома 68, литера Щ по Ленинградской ул.)",Договор безвозмездного пользования №22/ЗБ-04967 от 20.01.2022 (ФКСР),-,30.12.2024,"КОНКУРС
(ГК - июнь 2022г.)",10346.37,-,Работы не ведутся,СМР
44,78:11:0006019:24,"СТРОИТЕЛЬСТВО АРХИВНОГО КОМПЛЕКСА ДЛЯ САНКТ-ПЕТЕРБУРГСКИХ КАЗЕННЫХ УЧРЕЖДЕНИЙ ""ЦЕНТРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ ИСТОРИЧЕСКИЙ АРХИВ САНКТ-ПЕТЕРБУРГА"" И ""ЦЕНТРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ АРХИВ ЛИТЕРАТУРЫ И ИСКУССТВА САНКТ-ПЕТЕРБУРГА""  
ЗАНЕВСКИЙ ПР., УЧАСТОК 1 (СЕВЕРО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ С ОХТИНСКОЙ ВЕТКОЙ ЖЕЛЕЗНОЙ ДОРОГИ)",Красногвардейский,"Санкт-Петербург, Заневский пр., участок 1 (северо-западнее пересечения с Охтинской веткой железной дороги)",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022г.)",18550.0,-,Работы не ведутся,СМР
45,78:15:0008042:2,"РЕКОНСТРУКЦИЯ ЗДАНИЯ НОВООВСЯННИКОВСКАЯ УЛ., Д. 19А, 
ЛИТЕРА А",Кировский,"Санкт-Петербург, Новоовсянниковская ул., д. 19А, литера А",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022г.)",1062.8,-,Работы не ведутся,СМР
46,78:38:0021360:174,"СТРОИТЕЛЬСТВО ЗДАНИЯ СКЛАДА ДЛЯ САНКТ-ПЕТЕРБУРГСКОГО ГОСУДАРСТВЕННОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ОСОБОГО ТИПА МЕДИЦИНСКИЙ ЦЕНТР МОБИЛИЗАЦИОННЫХ РЕЗЕРВОВ ""РЕЗЕРВ""  САНКТ-ПЕТЕРБУРГ, ПОС. ПЕСОЧНЫЙ, ЛЕНИНГРАДСКАЯ УЛ., Д. 72А, ЛИТ. Ж",Курортный,"Санкт-Петербург, пос. Песочный, Ленинградская ул., д. 72А, литера Ж",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022г.)",917.9,-,Работы не ведутся,СМР
47,78:37:0017116:7577,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, ГОРОД КОЛПИНО, УЛИЦА ИЖОРСКОГО БАТАЛЬОНА, УЧАСТОК 1,(СЕВЕРО-ЗАПАДНЕЕ ДОМА 9, ЛИТЕРА А ПО УЛИЦЕ ИЖОРСКОГО БАТАЛЬОНА); Г.КОЛПИНО, КВАРТАЛ 16 ,УЛ. ИЖОРСКОГО БАТАЛЬОНА, ВО ДВОРЕ Д.7 (220 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",КОЛПИНСКИЙ,"САНКТ-ПЕТЕРБУРГ, ГОРОД КОЛПИНО, УЛИЦА ИЖОРСКОГО БАТАЛЬОНА, УЧАСТОК 1",№ 06/ЗБ-03785 от 18.09.2018,02.09.2019,01.11.2021,"№ 18/ЭА-19 от 02.09.2019
ООО ""КИТ""",1574.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 17.08.2021 № 78-06-35-2021",СМР
48,78:11:0005606:8468,"СТРОИТЕЛЬСТВО ЗДАНИЯ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ НА 160 МЕСТ С БАССЕЙНОМ (18 ЭТАП СТРОИТЕЛЬСТВА) ПО АДРЕСУ: Г. САНКТ-ПЕТЕРБУРГ, ТЕРРИТОРИЯ ПРЕДПРИЯТИЯ ""РУЧЬИ"", УЧАСТОК 8 (УЧ. 196 ПО ППТ), ВКЛЮЧАЯ РАЗРАБОТКУ РД",Красногвардейский,"САНКТ-ПЕТЕРБУРГ, ТЕРРИТОРИЯ ПРЕДПРИЯТИЯ ""РУЧЬИ"", УЧАСТОК 8 (УЧ. 196 ПО ПРОЕКТУ ПЛАНИРОВКИ ТЕРРИТОРИИ)",№ 07/ЗБ-05964 от 17.12.2020,10.08.2021,31.07.2023,"№ 57/ОК-21 от 10.08.2021
ООО ""КИТ""",3448.0,,Подготовительные работы,СМР
49,78:10:0005123:8618,"СТРОИТЕЛЬСТВО ЗДАНИЯ ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ НА ТЕРРИТОРИИ, ОГРАНИЧЕННОЙ ПР. МАРШАЛА БЛЮХЕРА, ПРОЕКТИРУЕМОЙ УЛ., ПОЛЮСТРОВСКИМ ПР., ПРОЕКТИРУЕМОЙ УЛ., ФЗУ 10 (240 МЕСТ)",КАЛИНИНСКИЙ,"САНКТ-ПЕТЕРБУРГ, ТЕРРИТОРИЯ, ОГРАНИЧЕННАЯ ПР. МАРШАЛА БЛЮХЕРА, ПРОЕКТИРУЕМОЙ УЛ., ПОЛЮСТРОВСКИМ ПР., ПРОЕКТИРУЕМОЙ УЛ., ФЗУ 10",№ 04/ЗБ-04149 от 25.01.2021,12.04.2021,30.12.2022,"№ 13/ОК-21 от 12.04.2021
ООО ""ТЕРРИКОН""",6438.07,-,"Ведутся работы по установке опалубки, армированию и бетонированию монолитных балок и перекрытия 1 этажа, кладке внутренних и наружных стен из газобетонных блоков полнотелого кирпича, монтажу перемычек, устройству сетей наружной канализации, обратной засыпке пазух котлована, разметке мест креплений трубопроводов.",СМР
50,78:34:0004281:81,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ПРИМОРСКИЙ РАЙОН, ШУВАЛОВСКИЙ ПРОСПЕКТ,  УЧАСТОК 144 (ЮЖНАЯ ЧАСТЬ КВАРТАЛА 78А РАЙОНА КАМЕНКА) (550 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, ШУВАЛОВСКИЙ ПРОСПЕКТ,  УЧАСТОК 144 (ЮЖНАЯ ЧАСТЬ КВАРТАЛА 78А РАЙОНА КАМЕНКА)",№ 17/ЗБ-07471 от 02.03.2020,06.10.2017,30.07.2021,"№ 16/ЗП-19 от 31.10.2019
ООО ""ИНТЕКС""",4311.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 13.08.2021 № 78-15-65-2021",СМР
51,78:11:0005606:8474,"СТРОИТЕЛЬСТВО ЗДАНИЯ СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ НА 825 МЕСТ (19 ЭТАП СТРОИТЕЛЬСТВА) по адресу: Г. САНКТ-ПЕТЕРБУРГ, ТЕРРИТОРИЯ ПРЕДПРИЯТИЯ ""РУЧЬИ"", УЧАСТОК 8 (УЧ. 204 ПО ПРОЕКТУ ПЛАНИРОВКИ ТЕРРИТОРИИ)",Красногвардейский,"САНКТ-ПЕТЕРБУРГ, ТЕРРИТОРИЯ ПРЕДПРИЯТИЯ ""РУЧЬИ"", УЧАСТОК 8 (УЧ. 204 ПО ПРОЕКТУ ПЛАНИРОВКИ ТЕРРИТОРИИ)",№ 07/ЗБ-05966 от 17.12.2020,-,20.07.2024,"КОНКУРС
(ГК - май 2022 г.)",19298.1,,Работы не ведутся,СМР
52,78:36:0005011:2,"ПРИСПОСОБЛЕНИЕ ДЛЯ СОВРЕМЕННОГО ИСПОЛЬЗОВАНИЯ ЗДАНИЯ СПБ ГУ ""ДОМ МОЛОДЕЖИ ВЫБОРГСКОГО РАЙОНА ""ФОРПОСТ"" ПО АДРЕСУ: САНК-ПЕТЕРБУРГ, БОЛЬШОЙ САМПСОНИЕВСКИЙ ПР., Д.37",ВЫБОРГСКИЙ,"Санкт-Петербург, Большой Сампсониевский проспект , дом 37","Свидетельство о гос регистрации  права СПб ГБУ ""Дом молодежи ""Форпост""",28.10.2019,30.06.2022,"ООО ""Аркада""",2160.2,-,"Отделочные работы
Подсобные работы (наведение порядка, уборка мусора)
Монтаж светильников Монтаж оконечников слаботочных сетей",Реконструкция
53,78:6:2099А:1,"РЕКОНСТРУКЦИЯ ЗДАНИЯ, РАСПОЛОЖЕННОГО ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, СРЕДНИЙ ПР. В.О., ДОМ 93, ЛИТЕР А, ЗАНИМАЕМОГО САНКТ-ПЕТЕРБУРГСКИМ ГОСУДАРСТВЕННЫМ УЧРЕЖДЕНИЕМ КУЛЬТУРЫ ""ЦЕНТР СОВРЕМЕННОГО ИСКУССТВА ИМЕНИ СЕРГЕЯ КУРЕХИНА""",ВАСИЛЕОСТРОВСКИЙ,"Санкт-Петербург, Средний проспект В.О., д.93, литера А","Свидетельство о гос регистрации  права СПб ГУК ""Центр современного искусства им. Сергея Курёхина""",21.12.2021,25.12.2024,"ООО ""ПСБ ""ЖИЛСТРОЙ""",5484.65,-,Подготовительные работы,Реконструкция
54,78:34:0004152:11,"СТРОИТЕЛЬСТВО ЗДАНИЯ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ ПО АДРЕСУ: ТУРИСТСКАЯ УЛ., УЧАСТОК 1 (ЮЖНЕЕ ДОМА 33, ЛИТЕРА А ПО ТУРИСТСКОЙ УЛИЦЕ), ВКЛЮЧАЯ РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ПРИМОРСКИЙ,"Санкт-Петербург, Туристская ул., участок 1 (южнее дома 33, литера А по Туристской улице)",Договор безвозмездного пользования №17/ЗБ-07305 от 03.07.2019 (ФКСР),01.07.2019,10.08.2020,"АО ""МОНОЛИТСТРОЙ""",4605.9,-,объект введен,Разрешение на ввод от 25.08.2020                 №78-15-41-2020
55,78:31:0001225:14,"ПРИСПОСОБЛЕНИЕ ДЛЯ СОВРЕМЕННОГО ИСПОЛЬЗОВАНИЯ ЗДАНИЯ ДЛЯ САНКТ-ПЕТЕРБУРГСКОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ КУЛЬТУРЫ ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ ПУБЛИЧНАЯ БИБЛИОТЕКА ИМЕНИ В.В.МАЯКОВСКОГО"" ПО АДРЕСУ: НАБ. Р. ФОНТАНКИ, Д. 44, ЛИТЕРА А",ЦЕНТРАЛЬНЫЙ,"Санкт-Петербург, Набережная реки Фонтанки, дом 44, литера А","Постоянное (бессрочное) пользование №78-78-42/017/2013-132 от 02.03.2013 (СПб ГБУК ""Центральная городская публичная библиотека им. В.В.Маяковского"")",06.11.2018,30.05.2021,"ООО ""ПСБ ""ЖИЛСТРОЙ""",4526.9,-,объект введен,Разрешение на ввод от 31.08.2021                 №01-56-4/21-0-1
56,78:40:0009062:31,"СТРОИТЕЛЬСТВО ДОМА КУЛЬТУРЫ ПО АДРЕСУ: Г.КРАСНОЕ СЕЛО, КИНГИСЕППСКОЕ ШОССЕ, УЧАСТОК 1 (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ С ГАТЧИНСКИМ ШОССЕ) (Г. КРАСНОЕ СЕЛО, КВАРТАЛ 6)",КРАСНОСЕЛЬСКИЙ,"г.Санкт-Петербург, город Красное Село, Кингисеппское шоссе, участок 1, (юго-западнее пересечения с Гатчинским
шоссе)","Договор безвозмездного пользования №08/ЗКБ-000229 от 02.012.2015, ДС 1 от 18.04.2017 (ФКСР)",29.08.209,25.12.2020,"ООО ""СТРОЙСИНДИКАТ""",5425.01,-,объект введен,Разрешение  на ввод от 31.12.2020                  №78-08-101-2020
57,78:38:22459:4,"СТРОИТЕЛЬСТВО ЗДАНИЯ КИНОКОНЦЕРТНОГО КОМПЛЕКСА ПО АДРЕСУ: ГОРОД ЗЕЛЕНОГОРСК, ПРИМОРСКОЕ ШОССЕ, Д. 536, ЛИТ. Б",КУРОРТНЫЙ,"город Зеленогорск, Приморское шоссе, д. 536, лит. Б",,22.06.2021,30.06.2023,"ООО ""Террикон""",30 061.00,-,Получение согласование КГА,Подготовка СМР
58,78:38:0011113:3248,"СТРОИТЕЛЬСТВО ЗДАНИЯ ДЛЯ РАЗМЕЩЕНИЯ ДОМА КУЛЬТУРЫ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. СЕСТРОРЕЦК, НАБ. СТРОИТЕЛЕЙ, УЧАСТОК 1 (ВОСТОЧНЕЕ Д.8, ЛИТЕРА А ПО НАБ. СТРОИТЕЛЕЙ),  ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",КУРОРТНЫЙ,"Санкт-Петербург, г. Сестрорецк, наб. Строителей, участок 1 (Восточнее д.8, Литера А по наб. Строителей)",,,,,,,"Работы не выполняются.
Разрешение на строитнльство приостановлено СГСНиЭ с 02.03.2020 по решению суда",Расторжение ГК СМР
59,78:38:2262701:31,"СТРОИТЕЛЬСТВО ЗДАНИЙ ДЕТСКОГО ТУБЕРКУЛЕЗНОГО САНАТОРИЯ ""ЖЕМЧУЖИНА"", ПОС. УШКОВО, УЛИЦА ПЛЯЖЕВАЯ, ДОМ 10",КУРОРТНЫЙ,"Санкт-Петербург, Пляжевая улица, дом 10, литера Е","Свидетельство о гос регистрации  права СПб ГУЗ ""Детский туберкулезный санаторий ""Жемчужина""",07.06.2019,30.06.202,"АО ""МОНОЛИТСТРОЙ""",32290.92,-,"Устройство внутренних и наружных инженерных сетей, ведутся отделочные работы, благоустройство.",СМР
60,78:38:11103:0:47,"РЕКОНСТРУКЦИЯ КОРПУСОВ ЛИТЕР Б, П, Д, Ж, СПБ  ГБУЗ ""ГОРОДСКАЯ БОЛЬНИЦА № 40 КУРОРТНОГО РАЙОНА"" ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. СЕСТРОРЕЦК, УЛ. БОРИСОВА, Д. 9",КУРОРТНЫЙ,"Санкт-Петербург, город Сестрорецк, дом 9","Свидетельство о гос регистрации  права СПб ГУЗ ""Городская больница № 40 Курортного района""",08.10.2019,15.12.2021,"ООО ""СОТЭКС""",31680.3,-,объект введен,Разрешение на ввод объекта в эксплуатацию от 30.12.2021 №78-10-27-2021
61,78:37:0017102:68,"СТРОИТЕЛЬСТВО НОВОГО КОРПУСА ""ГОРОДСКАЯ БОЛЬНИЦА № 33"",  Г.КОЛПИНО, УЛ.ПАВЛОВСКАЯ, Д.16, ЛИТЕРА А",КОЛПИНСКИЙ,"Санкт-Петербург, город Колпино, Павловская улица, д. 16, лит. А","Свидетельство о гос регистрации  права СПб ГУЗ ""Городская больница № 33""",21.09.2020,15.12.2020,"ООО""РР-СИТИ""",31024.2,-,объект введен,Разрешение на ввод от 25.12.2020  №78-06-39-2020 - I технологический этап - секция 1 и секция 2 (оси А-Ю/1-13).                                                                     Разрешение на ввод объекта в эксплуатацию от 23.03.2021 №78-06-04-2021 - II технологический этап - секция 3 (оси Б-Х/14-22).
62,78:13:0740201:1,"СТРОИТЕЛЬСТВО ЗДАНИЯ ИНСТИТУТ СКОРОЙ ПОМОЩИ ИМ. И.И. ДЖАНЕЛИДЗЕ"" ПО АДРЕСУ: БУДАПЕШТСКАЯ УЛ., Д. 3/5",ФРУНЗЕНСКИЙ,"Санкт-Петербург, Будапештская улица, дом 3, литера А","Свидетельство о гос регистрации  права  ГУ ""Санкт-Петербургский научно-исследовательский институт скорой помощи имени И.И.Джанелидзе""",21.06.2019,30.11.2022,ООО «БалтИнвестСтрой»,20747.57,-,Чистовая отделка. Монтаж чистых помещений. Монтаж инженерных коммуникаций. Монтаж лифтового оборудования. Устройство наружных инженерных сетей.,СМР
63,78:40:0008341:34,"СТРОИТЕЛЬСТВО ПОДСТАНЦИИ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ, ЛЕНИНСКИЙ ПР.,УЧАСТОК 2",КРАСНОСЕЛЬСКИЙ,"Санкт-Петербург, Ленинский проспект, участок 2, (северо-
западнее пересечения с улицей Доблести), (Юго-Запад,
квартал 21, участок 2)",Договор безвозмездного пользования №08/ЗБ-02855 от 14.09.2018 (ФКСР),05.08.2019,25.12.2020,"ООО ""НОВЫЙ ГОРОД""",1418.77,-,объект введен,Разрешение на ввод  от 28.12.2020                №78-08-94-2020
64,78:40:9043:3001,"СТРОИТЕЛЬСТВО ЗДАНИЯ ПОЛИКЛИНИКИ, Г. КРАСНОЕ СЕЛО, ПЕРЕУЛОК ЩУППА, УЧАСТОК 1",КРАСНОСЕЛЬСКИЙ,"Санкт-Петербург, город Красное Село, переулок Щуппа,
участок 1, (восточнее дома 120, литера А по проспекту
Ленина)",Договор безвозмездного пользования №08/ЗБ-02918 от 13.05.2019 (ФКСР),09.07.2020,10.12.2020,"ООО ""СУ-17""",12467.0,-,объект введен,Разрешение на ввод  от 09.07.2021                №78-08-23-2021
65,78:34:0004223:17,"СТРОИТЕЛЬСТВО ПОЛИКЛИНИКИ ДЛЯ ВЗРОСЛЫХ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, КОЛОМЯГИ, КВ. 12А, КОРП. 16 (ВЕРБНАЯ УЛ., УЧ. 1 (ВОСТОЧНЕЕ Д. 12, КОРП. 1, ЛИТ. А ПО ВЕРБНОЙ УЛ.) (600 ПОСЕЩЕНИЙ В СМЕНУ), ВСЕГО:",ПРИМОРСКИЙ,"Санкт-Петербург, Вербная улица, участок 1, (восточнее
дома 12, корпус 1, литера А по Вербной улице)",Договор безвозмездного пользования №17/ЗБ-07160 от 18.12.2018 (ФКСР),31.01.2020,25.12.2020,"ООО ""СТРОЙАКТИВ""",8980.0,-,объект введен,Разрешение на ввод от 30.12.2020                №78-15-116-2020
66,78:40:0009042:20,"СТРОИТЕЛЬСТВО ЗДАНИЯ ДЕТСКОЙ ПОЛИКЛИНИКИ НА 420 ПОСЕЩЕНИЙ В СМЕНУ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. КРАСНОЕ СЕЛО, УЛИЦА ВОССТАНОВЛЕНИЯ, УЧАСТОК 1 (ЗАПАДНЕЕ ДОМА 15, КОРПУС 3, ЛИТЕРА В ПО УЛ. ВОССТАНОВЛЕНИЯ), ВСЕГО:",КРАСНОСЕЛЬСКИЙ,"Санкт-Петербург, город Красное Село, улица
Восстановления, участок 1, (западнее дома 15, корпус 3,
литера В по улице Восстановления)",Договор безвозмездного пользования №08/ЗБ-02959 от 10.10.2018 (ФКСР),27.02.2020,25.12.2020,"ООО ""СУ-17""",9964.0,-,объект введен,Разрешение на ввод от 28.12.2020                     №78-08-93-2020
67,78:40:1916402:48,"СТРОИТЕЛЬСТВО НОВОГО ЗДАНИЯ ГБУЗ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 64"" ДЛЯ ВЗРОСЛЫХ И ДЕТЕЙ (340 ПОСЕЩЕНИЙ В СМЕНУ) ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ПОС. СТРЕЛЬНА, ЛЬВОВСКАЯ УЛ., УЧАСТОК 1  (ЗАПАДНЕЕ ДОМА 76 ЛИТЕРА А ПО ФРОНТОВОЙ УЛИЦЕ), ВСЕГО:",ПЕТРОДВОРЦОВЫЙ,"Санкт-Петербург, поселок Стрельна, Львовская улица,
участок 1, (западнее дома 7б, литера А по Фронтовой улице)","Договор безвозмездного пользования ( ООО ""ГСТ"") №16/ЗБС-10476 от 08.10.2018 , ДС № 2 от 24.04.20",23.08.2018,30.04.2020,"ООО ""ГСТ""",10864.11,-,объект введен,Разрешение на ввод  от 22.07.2020                    №78-14-09-2020
