№,Полное наименование образовательного учреждения (в соответствии с Уставом),Адрес,Дата принятия решения о выдаче свидетельства о государственной аккредитации,Реквизиты свидетельства о государственной аккредитации,Реквизиты приложения к свидетельству,Срок окончания действия свидетельства о государственной аккредитации,"Перечень аккредитованных программ, укрупненных групп направлений подготовки и специальностей",Основание и дата переоформления свидетельства о государственной аккредитации,Основание и дата приостановления и возобновления действия свидетельства о государственной аккредитации,ОГРН,ИНН
486,Государственное бюджетное общеобразовательное учреждение начальная общеобразовательная школа № 689 Невского района Санкт-Петербурга,"193318, Санкт-Петербург, проспект Пятилеток, дом 6, корпус 2, литер А",2013-02-01,78А01 № 0000306,78А01 № 0000372,Бессрочно,Начальное общее образование,"2823-р, 10.06.2015",,1037825009694,7811117612
487,"Частное общеобразовательное учреждение ""Школа ""Шамир""","190121, Санкт-Петербург, Лермонтовский пр. Д.2",2011-02-17,78А01 № 0000667,78А01 № 0000647,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1504-р, 24.05.2012; 5823-р, 11.12.2015",,1027810272203,7812049933
488,"Частное образовательное учреждение ""Средняя общеобразовательная школа ""Логос""","190068, Санкт-Петербург, ул. Средняя Подъяческая, д.1",2015-02-27,78А01 № 0000138,78А01 № 0000187,Бессрочно,Основное общее образование; Среднее общее образование,,,1037843025220,7825334470
489,"Частное общеобразовательное учреждение ""Медицинская гимназия""","194044, Санкт-Петербург, Большой Сампсониевский проспект, дом 34, лит.А",2015-02-06,78А01 № 0000968,78А01 № 0000991,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3327-р, 08.11.2019",,1027801576406,7802038812
490,"Частное общеобразовательное учреждение ""Немецкая школа ""Иоганн-Гете-Шуле""","Российская Федерация, 197136, Санкт-Петербург, ул. Бармалеева, д.14, лит. А",2015-02-26,78А01 № 0000790,78А01 № 0000798,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3893-р, 28.12.2016",,1037828016500,7813047640
491,"Частное общеобразвательное учреждение ""Культурологическая школа индивидуального развития ""Праздник +""","193230, Санкт-Петербург, Октябрьская набережная, дом 48, литер А, комната № 1",2015-02-27,78А01 № 0000937,78А01 № 0001005,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"510-р, 25.02.2019; 222-р, 31.01.2020",,1037843095421,7825456527
492,"Автономная некоммерческая общеобразовательная организация ""Центр Искусства Воспитания ""Общеобразовательная Вальдорфская школа и детский сад""","199155, город Санкт-Петербург, проспект КИМа, дом 1 литера А",2015-02-27,78А01 № 0001075,78А01 № 0001110,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5583-р, 25.11.2015; 1389-р, 13.07.2022",,1227800078307,7801713616
493,"Частное общеобразовательное учреждение дошкольного и полного среднего образования ""Школа индивидуального обучения ""Шанс""","193148, Российская Федерация, г.Санкт-Петербург, ул. Пинегина, д.21/26",2015-02-27,78А01 № 0000137,78А01 № 0000186,Бессрочно,Основное общее образование; Среднее общее образование,,,1037825035918,7811126134
494,Автономная некоммерческая организация общеобразовательная «Международная школа Герценовского университета»,"Российская Федерация, 191025, Санкт-Петербург, улица Восстания, дом 8, литера Б",2015-02-27,78А01 № 0000668,78А01 № 0000648,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5860-р, 15.12.2015",,1157800005065,7841030422
495,"Частное общеобразовательное учреждение ""Школа народного Искусства Императрицы Александры Федоровны""","Россия, 191028, г. Санкт-Петербург, улица Фурштатская дом 19, пом. 35-Н",2014-03-07,78А01 № 0000713,78А01 № 0000699,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"334-р, 10.02.2016",,1037843037858,7803057832
496,"Частное образовательное учреждение среднего общего образования ""Лицей АРИСТОС""","195248, Санкт-Петербург, ул. Большая Пороховская, д.52, корп. 2, литер А",2014-03-07,78А01 № 0000812,78А01 № 0000821,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1128-р, 29.03.2017",,1037869004140,7825411156
497,"ЧАСТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШКОЛА ГРАН""","197227, Санкт-Петербург, улица Гаккелевская, дом 19, литер А",2013-03-15,78А01 № 0000964,78А01 № 0000989,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"947-р, 07.03.2014; 31.10.2019 № 3256-р",,1027807580063,7814017461
498,"Частное образовательное учреждение общеобразовательная школа""Дельта""","198152, Санкт-Петербург, ултца Новостроек, дом 9, литер А",2014-03-07,78А01 № 0000966,78А01 № 0000988,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"365-р, 04.02.2015; 537-р, 13.02.2015; 3156-р, 24.10.2019",,1027804901497,7810272615
499,"Частное общеобразвотельное учреждение ""Школа и детский сад ""Доверие""","197375, г.Санкт-Петербург, вн.тер.г. Муниципальный округ Коломяги, ул 1-я Утиная, д. 10А, стр. 1",2014-03-07,78А01 № 0001047,78А01 № 0001077,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1088-р, 08.04.2016; 1411-р, 10.05.2016; 3309-р, 15.12.2021",,1027809184358,7825686841
500,Частное общеобразовательное учреждение средняя школа имени С.Т. Шацкого,"199106, Россия, Санкт-Петербург, В.О., 21 линия, дом 16, корпус 3",2014-03-07,78А01 № 0000561,78А01 № 0000568,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1047800029507,7801265315
501,"Частное образовательное учреждение ""Школа ""ЛИДЕР""","195112, Россия, город Санкт-Петербург, проспект Заневский, дом 25",2014-03-07,78А01 № 0000745,78А01 № 0000744,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1602-р, 06.06.2016",,1037816003389,7806106693
502,"Частное общеобразовательное учреждение ""Немецкая гимназия ""Петершуле""","Россия, город Санкт-Петербург",2014-03-07,78А01 № 0000496,78А01 № 0000575,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5077-р, 19.10.2015",,1037816006975,7806056019
503,"Частное общеобразовательное учреждение ""ШКОЛА ""РИД""","197022, Санкт-Петербург, Западная аллея, дом 1, литер А, кабинет 7",2014-03-07,78А01 № 0000955,78А01 № 0000978,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3840-р, 08.09.2014; 2020-р, 08.07.2019",,1037843050024,7825387062
504,"Автономная некоммерческая организация общеобразовательная ""Санкт-Петербургская международная школа""","Российская Федерация, 198206, Санкт-Петербург, улица Чекистов, дом 13, литера В",2014-03-07,78А01 № 0000516,78А01 № 0000596,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5234-р, 02.11.2015",,1027809240360,7825342022
505,"Частное общеобразовательное учреждение ""Школа ""СТУДИУМ""","196158, Россия, Санкт-Петербург, Московское шоссе, дом 10, корпус 2, литера А",2014-03-07,78А01 № 0000230,78А01 № 0000283,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1800-р, 17.04.2015",,1037821049760,7810673416
506,"Частное общеобразовательное учреждение ""Санкт-Петербургская школа ""ТТИШБ""","Россия, 191180, Санкт-Петербург, набережная реки Фонтанки, дом 90, корпус 8, лит. Е",2015-02-26,78А01 № 0000718,78А01 № 0000705,Бессрочно,Основное общее образование; Среднее общее образование,"543-р, 26.02.2016",,1037821055931,7810128731
507,"Автономная некоммерческая общеобразовательная организация ""Школа имени А.М.Горчакова""","196620, Санкт-Петербург, город Павловск, улица Елизаветинская дом 4, литер А, омещение 1-Н, 3-Н",2015-02-06,78А01 № 0000841,78А01 № 0000849,Бессрочно,Основное общее образование; Среднее общее образование,"157-р, 25.01.2016; 3851-р, 26.12.2016, 3170-р, 18.10.2017",,1157800005780,7820046608
508,Государственное бюджетное образовательное учреждение школа № 3 Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, улица Введенская, дом 15, литера А",2013-05-27,78А01 № 0000024,78А01 № 0000060,Бессрочно,Начальное общее образование; Основное общее образование,"5875-р, 24.12.2014",,1027806893047,7813125432
509,Государственное бюджетное общеобразовательное учреждение школа-интернат №20 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Песочная набережная, дом 14, литера Б,В",2013-05-27,78А01 № 0000338,78А01 № 0000409,Бессрочно,Начальное общее образование; Основное общее образование,"3257-р, 02.07.2015",,1037828000980,7813125295
510,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 47 с углубленным изучением отдельных предметов им. Д.С.Лихачева Петроградского района Санкт-Петербурга,"197136, город Санкт-Петербург, улица Плуталова, дом 24 литера А",2014-03-07,78А01 № 0001105,78А01 № 0001162,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2707-р, 28.12.2023",,1037828004367,7813132253
511,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 50 Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, улица Малая Разночинная, д. 2-4, литер А",2012-02-17,78А01 № 0000311,78А01 № 0000382,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"461-р, 17.02.2012; 2884-р, 15.06.2015",,1037828004389,7813131108
512,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 51 Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Чкаловский проспект, дом 22, литер А",2012-02-17,78А01 № 0000116,78А01 № 0000165,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"651-р, 24.02.2015",,1037828004411,7813124534
513,"Государственное бюджетное общеобразовательное учреждение ""Академическая гимназия № 56"" Санкт-Петербурга","197136, Санкт-Петербург,Чкаловский проспект, дом 35, литера А",2013-01-16,78А01 № 0000100,78А01 № 0000154,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"538-р, 13.02.2015",,1027806857561,7813124291
514,Государственное бюджетное общеобразовательное учреждение Гимназия № 67 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, улица профессора Попова, дом 25, литера А",2015-02-11,78А01 № 0000096,78А01 № 0000150,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027806860674,7813054245
515,Государственное бюджетное общеобразовательное учреждение гимназия № 70 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, ул.Литераторов, д. 9/11, литера А",2014-03-07,78А01 № 0000554,78А01 № 0000561,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1037828040117,7813090388
516,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 75 с углубленным изучением немецкого языка Петроградского района Санкт-Петербурга,"197046, Санкт-Петербург, Большая Посадская улица, дом 5, литера А",2013-01-16,78А01 № 0000064,78А01 № 0000118,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"480-р, 11.02.2015",,1037828005775,7813127567
517,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 77 с углубленным изучением химии Петроградского района Санкт-Петербурга,"197196, Санкт-Петербург, улица Блохина, дом 31, литер А, Б",2015-02-11,78А01 № 0000097,78А01 № 0000151,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1037828001166,7813142251
518,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 80 с углубленным изучением английского языка Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, улица Мира, дом 18, литера А",2013-01-16,78А01 № 0000308,78А01 № 0000374,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2826-р, 10.06.2015",,1027806887668,7813127944
519,Государственное бюджетное общеобразовательное учреждение лицей № 82 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, улица Мира, дом 26, литер А",2014-03-07,78А01 № 0000530,78А01 № 0000537,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1037828005709,7813125640
520,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 84 имени дважды Героя Советского Союза П.А.Покрышева Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, Большая Монетная улица, дом 2, литер А",2012-02-17,78А01 № 0000915,78А01 № 0000932,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2827-р, 10.06.2015; 349-р, 06.02.2019",,1027806887371,7813131789
521,Государственное бюджетное общеобразовательное учреждение гимназия № 85 Петроградского района Санкт-Петербурга,"197046, Санкт-Петербург, Певческий пер д. 4, литера А",2014-03-07,78А01 № 0000526,78А01 № 0000533,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1037828001265,7813131147
522,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №86 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, улица Мира, дом 4, литер А",2013-01-16,78А01 № 0000304,78А01 № 0000370,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2825-р, 10.06.2015",,1027806892827,7813124510
523,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 87 Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, улица Введенская, дом 16-18, литер А",2011-03-14,78А01 № 0000025,78А01 № 0000067,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"98-р, 19.01.2012; 6058-р, 31.12.2014",,1037828001683,7813125633
524,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 91 Петроградского района Санкт-Петербурга,"197101, г. Санкт-Петербург, Сытнинская площадь, д.5/7, лит. А",2011-02-17,78А01 № 0000737,78А01 № 0000731,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2356-р, 03.11.2011; 1410-р, 10.05.2016",,1037828002739,7813130369
525,Государственное бюджетное общеобразовательное учреждение Центр образования № 173 Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, улица, Новоладожская, дом 8, лит. А",2013-01-16,78А01 № 0000539,78А01 № 0000619,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5401-р, 12.11.2015",,5067847274754,7813355010
526,"Государственное бюджетное общеобразовательное учреждение Гимназия № 610 Петроградского района Санкт-Петербурга ""САНКТ-ПЕТЕРБУРГСКАЯ КЛАССИЧЕСКАЯ ГИМНАЗИЯ""","Россия, 197198, Санкт-Петербург, Малый пр. Петроградской стороны, д.9/6, литера А",2012-02-17,78А01 № 0000310,78А01 № 0000381,Бессрочно,Основное общее образование; Среднее общее образование,"2882-р, 15.06.2015",,1037828004390,7813090331
527,"Государственное бюджетное общеобразовательное учреждение школа-интернат № 49 Петродворцового района Санкт-Петербурга ""Школа здоровья""","198515, Санкт-петербург, поселок Стрельна, Санкт-Петербургское шоссе, дом 77, лит. А",2014-02-17,78А01 № 0000017,78А01 № 0000045,Бессрочно,Начальное общее образование; Основное общее образование,"4561-р, 08.10.2014",,1027808913384,7819017440
528,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 519 Московского района Санкт-Петербурга,"196158, Санкт-Петербург, улица Ленсовета, дом 87, корпус 2, литера А",2013-02-01,78А01 № 0000509,78А01 № 0000589,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5128-р, 21.10.2015",,1037821020159,7810214765
529,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 411 ""Гармония"" с углубленным изучением английского языка Петродворцового района Санкт-Петербурга","198504, Санкт-Петербург, город Петергоф, Ботаническая улица, д. 6, лит. А",2013-01-16,78А01 № 0000352,78А01 № 0000423,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3327-р, 07.07.2015",,1027808914121,7819022070
530,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 412 Петродворцового района Санкт-Петербурга имени М.А. Авитесяна,"198516, город Санкт-Петербург, город Петергоф, бульвар Эрлеровский, дом 20, литер А",2013-01-16,78А01 № 0001004,78А01 № 0001032,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"858-р, 05.03.2015; 2478-р, 22.12.2020",,1027808913318,7819021768
531,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 313 Фрунзенского района Санкт-Петербурга,"192283, Санкт-Петербург, улица Олеко Дундича, дом 25, копус 3, Литер А",2014-03-07,78А01 № 0000178,78А01 № 0000230,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1124-р, 19.03.2015",,1027807991573,7816165264
532,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 416 Петродворцового района Санкт-Петербурга ""Школа развития личности имени Веры Васильевны Павловой""","198516, Санкт-Петербург, Эрлеровский бульвар, дом 1/35, литер А",2012-03-14,78А01 № 0000232,78А01 № 0000285,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1846-р, 17.04.2015",,1027808913109,7819018130
533,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 417 Петродворцового района Санкт-Петербурга,"198411, Санкт-Петербург, улица Жоры Антоненко, дом 1, лит. А",2013-01-16,78А01 № 0000765,78А01 № 0000768,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3048-р, 28.10.2016",,1027808913120,7823005039
534,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 619 Калининского района Санкт-Петербурга,"195274, Санкт-Петербург, улица Демьяна Бедного, дом 4, корпус 2, литер А",2013-03-15,78А01 № 0000374,78А01 № 0000446,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3557-р, 21.07.2015",,1027802506071,7804085825
535,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 421 Петродворцового района Санкт Петербурга,"198515, Санкт-Петербург, Санкт-Петербургское шоссе, д.102-а, лит.А",2013-01-16,78А01 № 0000766,78А01 № 0000769,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3056-р, 28.10.2016",,1027808913175,7819017578
536,Государственное бюджетное общеобразовательное учреждение гимназия № 426 Петродворцового района Санкт-Петербурга имени Героя Советского Союза Г.Д. Костылева,"198412, ГОРОД САНКТ-ПЕТЕРБУРГ, Г. ЛОМОНОСОВ, УЛ. ВЛАДИМИРСКАЯ, Д. 28, ЛИТЕРА А",2011-03-14,78А01 № 0001029,78А01 № 0001057,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3328-р, 07.07.2015; 1536-Р, 24.05.2021",,1027808910557,7823005007
537,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 429 Петродворцового района Санкт-Петербурга имени Героя Российской Федерации М.Ю.Малофеева,"198412, Санкт-Петербург, город Ломоносов, улица Дегтярева, д.1/7, лит.А",2013-01-16,78А01 № 0000101,78А01 № 0000155,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"539-р, 13.02.2015",,1037841003980,7823005293
538,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 430 Петродворцового района Санкт-Петербурга имени Героя Российской едерации Н.И. Филина,"198412, город Санкт-Петербург, город Ломоносов, улица Скуридина, дом 6а, литер А",2013-01-16,78А01 № 0000999,78А01 № 0001026,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2012-р, 27.04.2015; 1923-р, 19.10.2020",,1027808914210,7823004980
539,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 436 Петродворцового района Санкт-Петербурга имени Е.Б. Ефета,"198412, город Санкт-Петербург, г. Ломоносов, ул. Победы, д. 28, к. 2, литер А",2013-01-16,78А01 № 0001030,78А01 № 0001058,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4877-р, 07.10.2015; 1565-р, 26.05.2021",,1027808916343,7823005230
540,Государственное бюджетное образовательное учреждение школа № 439 Петродворцового района Санкт-Петербурга:,"198516, Санкт-Петербург, город Петергоф, улица Блан-Менильская, дом 5, литер А",2015-02-11,78А01 № 0000959,78А01 № 0000982,Бессрочно,Начальное общее образование; Основное общее образование,"3014-р, 09.10.2019",,1027808913219,7819022345
541,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 529 Петродворцового района Санкт Петербурга имени Героя Российской Федерации Д.А. Опарина,"198516, город Санкт-Петербург, г. Петергоф, ул. Разводная, д. 27, литер А",2012-02-17,78А01 № 0001027,78А01 № 0001055,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1909-р, 21.04.2015; 1503-р; 20.05.2021",,1027808912560,7819018726
542,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 542 Петродворцового района Санкт-Петербурга,"188510, Санкт-Петербург, г. Петродворец, Санкт-Петербургский проспект дом 4, литер А",2013-01-16,78А01 № 0000767,78А01 № 0000770,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3057-р, 28.10.2016",,1027808913373,7819021567
543,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 567 Петродворцового района Санкт Петербурга,"198504, Санкт-Петербург, город Петергоф, улица Шахматова, дом 10, корпус 1, лит.А",2012-03-14,78А01 № 0000050,78А01 № 0000104,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"315-р, 29.01.2015",,1027808913043,7819019769
544,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 602 Петродворцового района Санкт-Петербурга,"198412, Санкт-Петербург, г.Ломоносов, ул.Сафронова, д.5, лит.А",2013-02-01,78А01 № 0000348,78А01 № 0000419,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3336-р, 07.07.2015",,1027808918752,7823005180
545,Государственное бюджетное общеобразовательное учреждение Петергофская гимназия императора Александра II,"198510, Санкт-Петербург, г. Петергоф, Санкт-Петербургский пр., д. 43",2014-03-03,78А01 № 0000965,78А01 № 0000987,Бессрочно,Основное общее образование; Среднее общее образование,"3158-р, 24.10.2019",,1027808914704,7819019913
546,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 38 Приморского района Санкт - Петербурга,"197372, Санкт-Петербург, проспект Авиаконструкторов, дом 15, копус 2, лит.А",2012-02-17,78А01 № 0000290,78А01 № 0000356,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2610-р, 28.05.2015",,1027807570482,7814043447
547,Государственное бюджетное общеобразовательное учреждение Лицей № 40 Приморского района Санкт-Петербурга,"197372, Санкт-Петербург, Комендантский пр., дом 22, корпус 3, литер А",2012-03-26,78А01 № 0000706,78А01 № 0000690,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"769-р, 26.03.2012; 156-р, 25.01.2016",,1037832010281,7814103512
548,Государственное бюджетное общеобразовательное учреждение гимназия № 41 имени Эриха Кестнера Приморского района Санкт-Петербурга,"197349, Санкт-Петербург, ул.Маршала Новикова, дом 1, корп. 3, литер А",2015-03-19,78А01 № 0000171,78А01 № 0000223,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027807579282,7814059687
549,Государственное бюджетное общеобразовательное учреждение гимназия № 42 Приморского района Санкт-Петербурга,"197349, Санкт-Петербург, проспект Сизова, дом 32, короп. 3, литер А",2014-03-07,78А01 № 0000303,78А01 № 0000369,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2819-р, 10.06.2015",,1027807583968,7814104805
550,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 43 с углублённым изучением иностранных языков ""Лингвистическая школа"" Приморского района Санкт-Петербурга","197348, Санкт-Петербург, Серебристый бульвар, дом 9, литера А, корпус 2",2014-03-07,78А01 № 0000527,78А01 № 0000534,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027807587609,7814102819
551,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 45 с углублённым изучением математики Приморского района Санкт-Петербурга,"197349, Санкт-Петербург, улица Маршала Новикова, дом 8, корпус 2, литер А",2015-02-27,78А01 № 0000129,78А01 № 0000178,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027807568392,7814059694
552,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 46 с углублённым изучением английского языка Приморского района Санкт-Петербурга,"197183, Санкт-Петербург, улица Савушкина, дом 61, литер А",2012-02-17,78А01 № 0000408,78А01 № 0000480,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"461-р, 17.02.2012; 4057-р, 14.08.2015",,1027807584133,7814101586
553,Государственное бюджетное общеобразовательное учреждение гимназия № 49 Приморского района Санкт-Петербурга,"197373, Санкт-Петербург, Богатырский пр., дом 55, корп. 3, литер А",2015-03-19,78А01 № 0000167,78А01 № 0000219,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1037832009368,7814029530
554,Государственное бюджетное общеобразовательное учреждение гимназия № 52 Приморского района Санкт-Петербурга,"197348, город Санкт-Петербург, проспект Богатырский, дом 7, корпус 4 литера А",2014-03-07,78А01 № 0001080,78А01 № 0001116,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2030-р, 19.10.2022",,1027807586113,7814103640
555,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 53 Приморского района Санкт-Петербурга,"197183, Санкт-Петербург, ул.Школьная, дом 19, лит.А",2012-03-14,78А01 № 0000728,78А01 № 0000719,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1091-р, 08.04.2016",,1027807585607,7814103625
556,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 57 Приморского района Санкт-Петербурга,"197341, Санкт-Петербург, аллея Поликарпова, дом 7, литер А",2011-02-17,78А01 № 0000794,78А01 № 0000802,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1818-р, 22.06.2012; 3897-р, 28.12.2016",,1027807587389,7814101152
557,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 58 Приморского района Санкт-Петербурга,"197341, Санкт-Петербург, проспект Королева, дом 11, лит. А",2011-02-17,78А01 № 0000289,78А01 № 0000355,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2190-р, 02.08.2012; 2681-р, 02.06.2015",,1027807588082,7814103978
558,Государственное бюджетное общеобразовательное учреждение школа № 59 Приморского района Санкт–Петербурга,"197341, Санкт-Петербург, улица Байконурская, дом 25, литера А",2013-05-27,78А01 № 0000319,78А01 № 0000390,Бессрочно,Начальное общее образование; Основное общее образование,"2942-р, 17.06.2015",,1027807571967,7814103791
