Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
16.013,МО Павловск,"Хоккей, катание на коньках",Каток,"город Павловск, Динамо, Новая улица, дом 10, литера А",,"59.65486626126018,30.4005158786306",М. Купчино,Пушкинский,8 (812) 465-14-66,Http://mo-pavlovsk.ru/,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Имеется
16.014,МО Тярлево,"Хоккей, катание на коньках",Каток,"посёлок Тярлево, Колхозная улица, дом 15, литера А",,"59.703454186196154,30.45104617178991",М. Купчино,Пушкинский,8 (812) 466-79-68,Http://mo-tyarlevo.ru/,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Отсутствует
16.015,"ООО ""Клуб друзей""",Катание на коньках,Каток,"город Пушкин, Садовая улица, дом 3, литера А",,"59.715309,30.391683",М. Купчино,Пушкинский,8 (905) 267-05-35,Https://vk.com/skatering,Работа объекта приостановлена до ноября 2023,12.00 - 21.00,День,Открытый,Платно,Частично доступен,True,True,True,True,True,,Имеется
16.016,"ООО ""Клуб друзей""",Катание на коньках,Каток,"город Пушкин, Соборная площадь, дом 1, литера А",,"59.720501,30.407848",М. Купчино,Пушкинский,8 981-990-01-56,Https://vk.com/skatering?ysclid=lciwpa2rk6553652292,Работа объекта приостановлена до ноября 2023,12:00-21:00,День,Открытый,Платно,Частично доступен,True,True,True,True,True,,Имеется
16.017,"Центр детского досуга ""Каскад""","Хоккей, катание на коньках",Каток,"город Пушкин, Гуммолосары, Горная улица, дом 2, литера А",,"59.69311,30.414762",М. Купчино,Пушкинский,8 (812) 451-53-63,Http://kaskad-club.ru/,Работа объекта приостановлена до ноября 2023,12.00 - 21.00,День,Открытый,Платно,Частично доступен,False,True,True,True,True,,Имеется
16.018,"Ледовая арена ""Пулково""","Хоккей, катание на коньках",Каток,"посёлок Шушары, Петербургское шоссе, дом 60, корпус 6, строение 1",,"59.75828,30.361211",М. Московская,Пушкинский,7 (812) 403-33-00,"Https://www.pulkovisoty.ru, https://vk.com/pulkovisoty",Работа объекта приостановлена до ноября 2023,11:00-23:00,День,Закрытый,Платно,Частично доступен,True,True,True,True,True,,Имеется
16.019,"СПб ГБУ ЦФКСЗ ""Царское Село""",Передвижение на лыжах,Лыжная трасса,"город Пушкин, Софийский бульвар, дом 3д, литера А",,"59.711314,30.420223",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Отсутствует
16.020,"СПб ГБУ ЦФКСЗ ""Царское Село""",Передвижение на лыжах,Лыжная трасса,"город Павловск, Садовая улица, дом 20, литера Г",,"59.690516,30.444339",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,07.00 - 19.00,День,Открытый,Бесплатно,Частично доступен,False,True,True,False,True,,Парковое освещение
16.021,"СПб ГБУ ЦФКСЗ ""Царское Село""",Передвижение на лыжах,Лыжная трасса,"посёлок Александровская, Кузьминское шоссе, дом 19, литера Б",Александровский парк,"59.719798,30.37481",М. Купчино,Пушкинский,8(812)476-68-11,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,07.00 - 21.00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Парковое освещение
16.022,"КДЦ ""Green Park""",Катание на коньках,Каток,"посёлок Шушары, территория Славянка, Ростовская улица, дом 20, строение 1",,"59.742585297892546,30.47102808908676",М. Купчино,Пушкинский,8 (900) 659-30-29,Https://greenpark-spb.ru/ https://vk.com/greenpark.slavyanka,Работа объекта приостановлена до ноября 2023,12:00-21:00,День,Открытый,Платно,Частично доступен,True,False,True,True,True,,Имеется
17.001,"СПБ ГБУ ""Центр ФКСиЗ Фрунзенского района""",Хоккей,Каток,"г. Санкт-Петербург, Альпийский пер.10",Альпийский пер.10,"59.852325,30.372399","Метро ""Проспект Славы""",Фрунзенский,(812)246-26-29,Http://fizkult-frunz.ru/,Работа объекта приостановлена до ноября 2023,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
